boxcutter,3.233638,1.711962,179950496.298797,0.374856,0.110013,0.00248,0.000893,0.000001,0.000241,0
boxcutter,3.580361,2.18469,14043267.289973,0.394093,0.126182,0.001924,0.00098,0.000001,0.000324,0
boxcutter,3.207381,1.648169,193237377.407502,0.363748,0.103071,0.001908,0.00087,0.000001,0.000264,0
boxcutter,3.98619,3.085249,63947596.741467,0.416394,0.144648,0.001442,0.000608,0.000001,0.000194,0
boxcutter,3.483829,2.19149,13071577.987635,0.397157,0.127871,0.002744,0.001445,0.000003,0.000498,0
boxcutter,3.957265,2.751946,19178354.922561,0.439722,0.164024,0.002124,0.001022,0.000001,0.000356,0
boxcutter,3.650309,3.078299,71557173.03625,0.408487,0.136246,0.003833,0.001482,0.000003,0.000425,-0.000001
boxcutter,4.027692,1.490078,182796174.055972,0.419153,0.146796,0.000389,0.000045,0,-0.000014,0
boxcutter,3.977396,3.192853,30485021.363229,0.464617,0.184992,0.003011,0.001221,0.000002,0.000415,-0.000001
boxcutter,3.754585,3.09278,98282489.134631,0.450173,0.171911,0.002689,0.001073,0.000002,0.00035,-0.000001
boxcutter,4.122881,1.470809,185207619.325232,0.485697,0.204537,0.00398,0.001947,0.000005,0.000766,-0.000001
boxcutter,4.152602,3.378662,0,0,0,0,0,0,0,0
hex_key_wrench,2.660334,4.832565,16252385.85601,0.869357,0.565532,0.148565,0.021705,-0.000209,-0.002158,-0.001215
hex_key_wrench,3.075219,3.533607,2298143.108046,1.040299,0.826795,0.418452,0.168437,0.04159,0.123009,-0.01643
hex_key_wrench,2.810562,5.472467,13278260.028509,0.929253,0.674949,0.158921,0.027577,0.00034,0.002631,-0.001794
hex_key_wrench,2.72081,3.844042,1729229.811201,0.939707,0.666507,0.25461,0.076305,0.008545,0.040995,-0.006333
hex_key_wrench,2.959214,4.576455,1360922.713794,1.035082,0.826201,0.293973,0.070899,0.006498,0.029979,-0.007909
hex_key_wrench,2.80797,3.498133,19351143.451865,0.880391,0.606348,0.123709,0.017899,-0.000163,-0.002137,0.000826
donut,1.006579,1.393624,27061936.478518,0.159197,0.000003,0,0,0,0,0
donut,1.094674,1.426744,27320838.906651,0.16075,0.000417,0.000027,0,0,0,0
donut,1.017937,1.402442,28286141.016588,0.160537,0.000354,0.000026,0,0,0,0
donut,1.033113,1.502865,26907821.244629,0.159308,0.000042,0.000001,0,0,0,0
donut,1.14,1.45477,38599396.59095,0.160424,0.000382,0,0,0,0,0
donut,1.023529,1.455389,27047883.256394,0.159717,0.000092,0.00001,0,0,0,0
donut,1.012636,1.496698,0,0,0,0,0,0,0,0
notebook,1.410067,1.487616,2514431517.79649,0.176852,0.003443,0,0,0,0,0
notebook,1.397955,1.069977,1455668453.63586,0.176276,0.003194,0.000004,0,0,0,0
notebook,1.410884,2.021401,1778935339.85614,0.177176,0.003535,0,0,0,0,0
notebook,1.416168,2.019706,1830029845.5834,0.177217,0.003522,0,0,0,0,0
notebook,1.434811,1.820626,1474406420.42136,0.177558,0.003774,0.000001,0,0,0,0
notebook,1.420584,1.027153,2634700422.59209,0.177088,0.003457,0.000001,0,0,0,0
notebook,1.407295,1.021311,1381291542.65018,0.177546,0.003633,0.000002,0,0,0,0
notebook,1.411539,1.957003,2109191470.77711,0.177454,0.003551,0,0,0,0,0
game_controller,1.383916,1.466163,436649298.778172,0.191684,0.005584,0.000377,0.000036,0,-0.000003,0
game_controller,1.394129,1.886593,260011961.823728,0.194911,0.005991,0.000878,0.000066,0,-0.000005,0
game_controller,1.402709,1.721019,354879878.673109,0.208863,0.006814,0.001115,0.000132,0,-0.000009,0
game_controller,1.45325,1.395282,164453025.171828,0.183652,0.005364,0.00024,0.000013,0,-0.000001,0
game_controller,1.472932,1.812266,217638564.416897,0.191114,0.006165,0.000495,0.000043,0,-0.000002,0
game_controller,1.400854,1.652847,177803676.750895,0.191397,0.005579,0.000822,0.000067,0,-0.000005,0
game_controller,1.57733,1.393822,199403658.47956,0.193471,0.008062,0.000702,0.000045,0,-0.000004,0
key,2.124792,2.578797,2161266.767576,0.343241,0.074504,0.018702,0.009299,0.000123,0.002535,-0.000004
key,2.150551,2.663424,567104.646511,0.348778,0.07674,0.022649,0.011767,0.000192,0.003257,-0.000004
key,2.099846,2.605839,1047655.058312,0.337754,0.072124,0.016381,0.007977,0.000091,0.002141,-0.000002
key,2.135276,2.563255,507883.378353,0.340901,0.072475,0.019258,0.009592,0.00013,0.002576,-0.000005
key,2.112836,2.510363,449970.130638,0.347274,0.075357,0.021866,0.011008,0.000171,0.00302,-0.000004
key,2.10983,2.717349,1796441.343164,0.347753,0.075099,0.02281,0.011492,0.000186,0.003144,-0.000006
key,2.092,2.267411,2550019.246239,0.349205,0.071611,0.024765,0.01387,0.000257,0.003709,-0.000006
key,2.092811,2.142857,479378.575233,0.331125,0.066342,0.017597,0.008466,0.000103,0.00218,-0.000002
garage_remote,1.776432,1.555755,6148603.675212,0.185757,0.008474,0.000011,0,0,0,0
garage_remote,1.571335,1.65567,9591137.317139,0.177883,0.005326,0.000019,0,0,0,0
garage_remote,1.618421,1.627091,10753630.293802,0.180091,0.00609,0.000036,0,0,0,0
garage_remote,1.864797,1.167835,6168541.023204,0.191647,0.010569,0.000016,0.000001,0,0,0
garage_remote,1.667194,1.43131,7236590.572421,0.182755,0.00704,0.000064,0.000002,0,0,0
ball,1.298856,1.404624,10762074.052458,0.173111,0.003333,0.000413,0.000025,0,0.000001,0
ball,1.042424,1.282609,9589594.02077,0.159372,0.000064,0.000001,0,0,0,0
ball,1.147727,1.295164,14302140.387057,0.16056,0.000436,0,0,0,0,0
ball,1.1,1.267465,13801722.563913,0.160331,0.000363,0.000003,0,0,0,0
ball,1.306719,1.465476,23083358.616924,0.170015,0.002394,0.000267,0.000018,0,0.000001,0
ball,1.008842,1.413036,10653801.818989,0.162118,0.000207,0.000115,0.000002,0,0,0
ball,1.05,1.260934,12147299.720242,0.159505,0.000044,0.000006,0,0,0,0
ball,1.220864,1.374053,15720889.995738,0.167908,0.001969,0.000203,0.000007,0,0,0
ball,1.293463,1.489862,10759727.480346,0.174616,0.003092,0.000586,0.000049,0,0.000003,0
ball,1.026087,1.272024,8862927.564761,0.159373,0.000056,0.000003,0,0,0,0
ball,1.053097,1.267606,9545522.415628,0.159337,0.000051,0.000001,0,0,0,0
chopstick,18.974972,11.073742,107674104.245153,1.77573,3.125202,0.175962,0.171083,0.029684,0.302305,-0.000018
chopstick,19.836681,13.206384,67904056.437387,1.865232,3.450418,0.375937,0.367537,0.136618,0.682635,0.000033
chopstick,20.982624,5.861435,328776.012508,2.032165,4.101213,0.378432,0.370743,0.138868,0.7507,0.000031
chopstick,17.439606,3.99429,195935902.583627,1.651781,2.700357,0.058269,0.056081,0.003206,0.09214,0.000002
chopstick,20.530781,13.929359,64429959.575284,2.059864,4.214246,0.425529,0.417027,0.175676,0.856069,-0.000025
chopstick,17.831326,4.334927,177327226.602454,1.679714,2.793484,0.141372,0.136998,0.019066,0.228894,0.00001
chopstick,17.660343,11.134753,95771733.89267,1.675221,2.777904,0.179442,0.173778,0.030687,0.289509,-0.000019
tv_controller,3.746145,2.730816,149612847.719753,0.335972,0.085455,0.000005,0.000001,0,0,0
tv_controller,3.766212,2.668197,169177584.916639,0.340376,0.088315,0.000005,0.000002,0,0.000001,0
tv_controller,3.942524,1.035096,31585654.091514,0.347796,0.093605,0.000002,0.000001,0,0,0
tv_controller,3.980419,1.157202,25999258.773852,0.353202,0.097278,0.000001,0.000001,0,0,0
tv_controller,3.530906,1.439211,281226292.04628,0.321938,0.076272,0.000016,0.000005,0,0.000001,0
tv_controller,4.146539,1.444806,18737831.404002,0.365816,0.106425,0,0,0,0,0
tv_controller,3.711206,1.747183,253991351.474167,0.344703,0.091082,0.000044,0.000023,0,0.000007,0
tv_controller,4.033899,2.980976,103331826.732304,0.359225,0.101488,0.000005,0.000002,0,0.000001,0
tv_controller,4.06678,2.971353,91002566.504038,0.362537,0.103806,0.000001,0,0,0,0
tv_controller,4.004849,1.422245,18240689.774846,0.358535,0.100963,0.000004,0.000001,0,0,0
tv_controller,4.115293,1.157501,244498176.69025,0.36699,0.107107,0.000001,0,0,0,0
eraser,2.13271,1.9268,95043332.971163,0.217615,0.020468,0.000069,0.000006,0,-0.000001,0
eraser,2.298541,1.801556,240175730.142425,0.231617,0.026295,0.000002,0,0,0,0
eraser,1.971365,1.083821,82992670.166635,0.207499,0.01584,0.000025,0.000002,0,0,0
eraser,2.255383,1.305435,307460291.51171,0.234478,0.027728,0.000036,0.000004,0,0,0
eraser,1.808098,1.751745,202162714.800843,0.197262,0.012162,0.000186,0.000015,0,-0.000001,0
eraser,1.996846,1.959638,133345317.856061,0.208867,0.01678,0.000144,0.000015,0,0,0
eraser,2.414034,2.15473,88924448.66801,0.2419,0.030905,0.000002,0,0,0,0
eraser,2.513322,2.163605,167490796.025236,0.250297,0.035027,0.000003,0,0,0,0
test,1.865173,1.660029,1887849885.883168,0.208863,0.012450,0.000160,0.000149,0.000000,0.000016,-0.000000
